index,i_a,i_b,i_c,u_a,u_b,di_1,di_2
1,-12.04681396484375,-11.16943359375,22.88818359375,788.5807495117188,933.6860961914062,0,0
2,-21.23260498046875,2.62451171875,18.31817626953125,961.9796142578125,1109.712158203125,0,0
3,-22.3846435546875,6.34002685546875,15.90728759765625,1012.5037841796875,1105.3670654296875,0,0
4,-23.61297607421875,10.52093505859375,12.88604736328125,1052.5189208984375,1084.248046875,0,0
5,-23.0255126953125,14.404296875,8.48388671875,1076.8714599609375,1052.3167724609375,0,0
6,-21.84295654296875,16.67022705078125,4.93621826171875,1098.1927490234375,1016.747802734375,0,0
7,-20.32470703125,19.23370361328125,0.8087158203125,1113.3499755859375,972.5896606445312,0,0
8,-17.5628662109375,21.67510986328125,-4.2877197265625,1105.973388671875,916.912109375,0,0
9,-13.87786865234375,22.34649658203125,-8.65936279296875,1093.54443359375,863.8617553710938,0,0
10,-10.68878173828125,22.59063720703125,-12.054443359375,1075.456787109375,807.7799682617188,0,0
11,-6.73675537109375,22.49908447265625,-15.716552734375,1040.59521484375,747.55517578125,0,0
12,-1.922607421875,20.99609375,-19.04296875,996.2349853515625,692.9890747070312,0,0
13,2.1209716796875,18.56231689453125,-20.782470703125,949.146484375,640.8482055664062,0,0
14,5.706787109375,16.47186279296875,-22.34649658203125,894.3782958984375,590.1219482421875,0,0
15,10.04791259765625,13.3209228515625,-23.590087890625,834.052490234375,550.4099731445312,0,0
16,13.86260986328125,8.87298583984375,-22.918701171875,777.970703125,522.116455078125,0,0
17,16.4947509765625,5.01251220703125,-21.58355712890625,719.968994140625,498.57220458984375,0,0
18,19.4244384765625,0.8697509765625,-20.42388916015625,660.7546997070312,487.7600402832031,0,0
19,21.79718017578125,-3.8909912109375,-18.13507080078125,610.634765625,491.39776611328125,0,0
20,22.36175537109375,-7.9193115234375,-14.74761962890625,567.5881958007812,500.2900390625,0,0
21,22.62115478515625,-11.48223876953125,-11.627197265625,527.2698974609375,517.5692749023438,0,0
22,22.88818359375,-15.29693603515625,-8.026123046875,504.4330139160156,553.44140625,0,0
23,21.38519287109375,-18.28765869140625,-3.37982177734375,489.4778747558594,592.547119140625,0,0
24,18.63861083984375,-20.20263671875,1.2359619140625,482.40447998046875,639.8377075195312,0,0
25,16.59393310546875,-22.15576171875,5.33294677734375,487.4569091796875,696.3236694335938,0,0
26,13.3514404296875,-23.4832763671875,9.8419189453125,506.959228515625,755.23486328125,0,0
27,9.124755859375,-22.9034423828125,13.5040283203125,531.8170776367188,811.4176635742188,0,0
28,5.584716796875,-22.08709716796875,16.265869140625,564.6577758789062,870.227783203125,0,0
29,1.38092041015625,-21.05712890625,19.41680908203125,612.8577880859375,928.6336669921875,0,0
30,-3.47137451171875,-18.5394287109375,21.6522216796875,664.695556640625,978.2484130859375,0,0
31,-7.28607177734375,-15.3961181640625,22.430419921875,717.03857421875,1023.7200927734375,0,0
32,-10.8795166015625,-12.481689453125,23.10943603515625,775.7476196289062,1064.139404296875,0,0
33,-15.0909423828125,-8.30078125,22.98736572265625,833.4462280273438,1089.1993408203125,0,0
34,-18.157958984375,-3.4942626953125,21.240234375,886.5975952148438,1104.154541015625,0,0
35,-20.1416015625,0.48828125,19.3634033203125,941.3657836914062,1113.1478271484375,0,0
36,-22.3236083984375,4.5013427734375,17.5323486328125,993.910888671875,1109.0048828125,0,0
37,-23.46038818359375,9.0789794921875,14.15252685546875,1033.622802734375,1092.2308349609375,0,0
38,-22.7813720703125,12.59613037109375,9.98687744140625,1066.86767578125,1069.697021484375,0,0
39,-22.49908447265625,15.3656005859375,6.98089599609375,1092.2308349609375,1034.1280517578125,0,0
40,-21.78955078125,18.6004638671875,3.01361083984375,1105.3670654296875,990.4752197265625,0,0
41,-18.7530517578125,20.57647705078125,-2.166748046875,1109.10595703125,942.7804565429688,0,0
42,-15.41900634765625,21.514892578125,-6.47735595703125,1103.5482177734375,889.4269409179688,0,0
43,-12.603759765625,22.6898193359375,-10.3759765625,1085.258544921875,830.4147338867188,0,0
44,-8.36944580078125,22.74322509765625,-14.65606689453125,1055.1461181640625,774.3329467773438,0,0
